spinType,speed,spinAmount,timeSinceRelease,ballPosX,ballPosY,ballVelX,ballVelY,ballAngularVel,distanceToStumps,distanceToPad,hitPad, reachedPad, willHitStumps
1,1.043113,10.000000,0.050099,-6.168895,0.913143,20.777640,-2.269538,-789.114500,14.699330,12.571250,0,0,1
1,1.043113,10.000000,0.100277,-4.922237,0.753426,20.777640,-2.858137,-786.751800,13.456320,11.333910,0,0,1
1,1.043113,10.000000,0.166742,-3.675579,0.558394,20.777640,-3.446737,-784.396100,12.205790,10.089790,0,0,1
1,1.043113,10.000000,0.233403,-2.013369,0.243415,20.777640,-4.231537,-781.266300,10.525550,8.419527,0,0,1
1,1.043113,10.000000,0.299730,-0.766710,-0.034021,20.777640,-4.820137,-778.927100,9.254849,7.157773,0,0,1
1,1.043113,10.000000,0.349873,0.064395,-0.238598,20.777640,-5.212536,-777.371500,8.402331,6.312241,0,0,1
1,1.043113,10.000000,0.400899,1.311053,-0.574894,20.777640,-5.801136,-775.044000,7.114995,5.037786,0,0,1
1,1.043113,10.000000,0.466837,2.557711,-0.946506,20.777640,-6.389736,-772.723400,5.816816,3.757763,0,0,1
1,1.043113,10.000000,0.533437,4.219922,-1.496925,20.777640,-7.174535,-769.640100,4.067951,2.057820,0,0,1
1,1.043113,10.000000,0.599920,5.466579,-1.950941,20.777640,-7.763135,-767.335700,2.742033,0.881636,0,0,1
1,1.043113,10.000000,0.616779,5.882132,-2.110127,20.777640,-7.959335,-766.569100,2.297224,0.630266,1,1,1
1,0.903440,10.000000,0.066346,-5.922944,0.852838,17.950950,-2.648898,-788.326100,14.446200,12.318400,0,0,1
1,0.903440,10.000000,0.116618,-4.845887,0.670360,17.950950,-3.237498,-785.965800,13.359950,11.235810,0,0,1
1,0.903440,10.000000,0.166667,-4.127850,0.529089,17.950950,-3.629898,-784.396100,12.630880,10.509100,0,0,1
1,0.903440,10.000000,0.216680,-3.050792,0.287751,17.950950,-4.218497,-782.047600,11.529500,9.411001,0,0,1
