impactPosX,impactPosY,impactVelX,impactVelY,impactAngularVel,spinDirection,spinMagnitude,distanceToStumps,willHitStumps
5.312662,-2.170445,16.446410,5.239689,-1346.877000,1,10.000000,2.812463,0
5.297106,-3.285843,17.079320,-9.386064,762.747500,0,10.000000,2.717967,1
5.442286,-2.128041,16.626450,5.298501,173.712700,0,10.000000,2.702260,0
5.283585,-2.882278,19.193110,-9.107162,-765.803200,1,10.000000,2.718965,1
5.114932,-2.958932,18.150780,6.333923,-1330.595000,1,10.000000,2.885360,1
5.383482,-2.646083,16.034190,5.533015,216.658600,0,10.000000,2.640346,1
5.163546,-2.768539,20.187610,6.419298,-1371.804000,1,10.000000,2.845883,1
5.480974,-1.917420,13.903800,4.061667,208.286000,0,10.000000,2.741801,0
5.185230,-3.142840,18.462480,-9.416235,765.038200,0,10.000000,2.818392,1
5.281641,-1.932586,18.504180,6.094548,-1415.022000,1,10.000000,2.920419,0
5.419453,-3.278341,17.470930,6.316238,-1295.693000,1,10.000000,2.595515,1
5.335231,-2.825038,19.773320,6.471838,-1359.590000,1,10.000000,2.670506,1
5.436483,-3.194167,18.288950,-9.405197,764.273900,0,10.000000,2.570860,1
5.326596,-1.922690,14.055460,4.349086,200.911100,0,10.000000,2.882305,0
5.364410,-1.922018,14.113920,4.126677,203.644400,0,10.000000,2.847521,0
5.376136,-2.440008,14.421340,4.756190,230.961200,0,10.000000,2.682956,0
5.288388,-2.567660,21.186880,-8.897940,-768.103100,1,10.000000,2.745862,1
5.514281,-2.869277,14.930780,5.363272,244.497700,0,10.000000,2.489154,1
5.490485,-2.525776,14.931230,5.234197,223.504200,0,10.000000,2.553929,1
5.565361,-2.096885,15.494070,4.596572,198.362900,0,10.000000,2.596745,0
5.521677,-2.083868,15.039960,4.533080,202.886700,0,10.000000,2.642231,0
5.637028,-2.077211,21.787990,-8.052337,-768.103100,1,10.000000,2.536765,1
5.412233,-2.886778,17.731770,-8.887942,763.510300,0,10.000000,2.590243,1
5.316713,-2.887453,15.062470,5.673870,235.146000,0,10.000000,2.685646,1
5.392908,-3.107641,19.363920,-9.459293,-765.803200,1,10.000000,2.609313,1
5.389070,-2.208755,14.101260,4.478785,221.678500,0,10.000000,2.728190,0
5.639637,-1.956421,14.444950,4.312477,203.954400,0,10.000000,2.580769,0
