impactPosX,impactPosY,impactVelX,impactVelY,impactAngularVel,spinDirection,spinMagnitude,distanceToStumps,willHitStumps
6.060356,-2.447381,16.516060,5.193727,212.549000,0,10.000000,2.016831,1
6.072714,-2.755470,15.238660,5.464673,235.241200,0,10.000000,1.942737,1
5.980937,-2.981683,17.789130,6.063745,-1305.616000,1,10.000000,2.019146,1
6.017319,-2.424068,14.455390,4.943603,246.122100,0,10.000000,2.064636,1
6.101018,-2.879071,17.461780,5.847075,222.900800,0,10.000000,1.902828,1
6.243537,-2.133213,15.931380,4.706269,204.246600,0,10.000000,1.958694,0
6.127341,-2.016224,21.878910,-7.871941,-767.335700,1,10.000000,2.115340,1
6.012622,-2.439257,18.430350,5.807755,-1348.442000,1,10.000000,2.064971,1
6.174541,-2.929770,17.074750,5.718367,232.935100,0,10.000000,1.826809,1
6.140309,-3.153517,21.194050,-9.642226,-766.569100,1,10.000000,1.866016,1
6.015160,-2.241234,16.927180,5.292657,-1334.746000,1,10.000000,2.124927,0
6.387714,-1.859933,16.134660,4.586554,182.687100,0,10.000000,1.974644,0
6.422706,-1.928975,19.081980,5.586982,-1393.094000,1,10.000000,1.906554,0
6.128417,-3.192833,17.970570,6.361245,-1306.455000,1,10.000000,1.881490,1
6.069934,-2.574990,16.078820,5.228360,225.393500,0,10.000000,1.976307,1
5.489903,-2.249091,19.515480,-8.117805,-765.803200,1,10.000000,2.620009,1
5.497470,-2.873320,15.720050,5.740777,230.294100,0,10.000000,2.505734,1
5.614937,-2.180842,18.424550,5.806308,-1380.671000,1,10.000000,2.521814,0
5.429063,-2.822542,17.531020,6.081801,-1310.924000,1,10.000000,2.577054,1
5.371627,-2.975927,18.551860,6.307369,-1328.365000,1,10.000000,2.628483,1
5.508990,-2.810356,16.653900,5.654753,223.115100,0,10.000000,2.498218,1
5.682573,-3.163793,19.816530,-9.547030,-765.803200,1,10.000000,2.323208,1
5.449161,-2.102340,15.748920,4.906559,189.083000,0,10.000000,2.704178,0
5.444473,-3.260472,16.816860,-9.288998,761.985500,0,10.000000,2.568767,1
5.572798,-2.375953,17.796410,5.643772,-1350.550000,1,10.000000,2.506141,0
5.602369,-2.594755,19.094510,-8.585800,-765.038200,1,10.000000,2.431637,1
