spinType,speed,spinAmount,timeSinceRelease,ballPosX,ballPosY,ballVelX,ballVelY,ballAngularVel,distanceToStumps,distanceToPad,hitPad, reachedPad, willHitStumps
1,0.991812,10.000000,0.064737,-5.856765,0.645502,19.053910,-6.104498,-788.326100,14.328280,12.690550,0,0,0
1,0.991812,10.000000,0.115204,-4.713531,0.255688,19.053910,-6.693098,-785.965800,13.123770,11.484970,0,0,0
1,0.991812,10.000000,0.181684,-3.570296,-0.169441,19.053910,-7.281698,-783.612500,11.911500,10.271040,0,0,0
1,0.991812,10.000000,0.231747,-2.427062,-0.629887,19.053910,-7.870297,-781.266300,10.693040,9.050355,0,0,0
1,0.991812,10.000000,0.298780,-1.283828,-1.125649,19.053910,-8.458899,-778.927100,9.471149,7.826010,0,0,0
1,0.991812,10.000000,0.364839,-0.140594,-1.656726,19.053910,-9.047500,-776.594900,8.250676,6.603914,0,0,0
1,0.991812,10.000000,0.431808,1.383718,-2.419766,19.053910,-9.832301,-773.496200,6.641675,5.000413,0,0,0
1,0.991812,10.000000,0.481840,2.145874,-2.824830,19.053910,-10.224700,-771.951500,5.856746,4.228844,0,0,0
1,0.991812,10.000000,0.531850,3.278622,-3.242288,18.161810,7.028646,-1360.998000,4.727591,3.135735,0,0,0
1,0.991812,10.000000,0.598573,4.368330,-2.844113,18.161810,6.440047,-1356.923000,3.635014,2.008237,0,0,0
1,0.991812,10.000000,0.664945,5.458038,-2.481254,18.161810,5.851447,-1352.860000,2.594353,0.951678,0,0,0
1,0.991812,10.000000,0.714727,6.547746,-2.153712,18.161810,5.262847,-1348.810000,1.680847,0.611529,1,1,0
1,0.981040,10.000000,0.066447,-5.959251,0.426224,17.345810,-9.759147,-788.326100,14.373580,12.733060,0,0,0
1,0.981040,10.000000,0.116559,-4.918503,-0.182869,17.345810,-10.347750,-785.965800,13.222100,11.578280,0,0,0
1,0.981040,10.000000,0.166591,-4.224670,-0.608551,17.345810,-10.740150,-784.396100,12.456390,10.810740,0,0,0
1,0.981040,10.000000,0.216601,-3.183923,-1.276504,17.345810,-11.328750,-782.047600,11.315940,9.669187,0,0,0
1,0.981040,10.000000,0.283324,-2.143175,-1.979772,17.345810,-11.917350,-779.706100,10.194360,8.550903,0,0,0
1,0.981040,10.000000,0.349696,-1.102427,-2.718357,17.345810,-12.505950,-777.371500,9.106783,7.476325,0,0,0
1,0.981040,10.000000,0.416165,0.250637,-3.056221,16.265500,8.315259,-1489.669000,7.749568,6.131390,0,0,0
1,0.981040,10.000000,0.466319,0.901257,-2.735383,16.265500,7.922859,-1486.694000,7.103674,5.472612,0,0,0
1,0.981040,10.000000,0.516584,1.877187,-2.283556,16.265500,7.334259,-1482.243000,6.164587,4.519787,0,0,0
1,0.981040,10.000000,0.583244,2.853117,-1.867044,16.265500,6.745659,-1477.805000,5.270104,3.627359,0,0,0
1,0.981040,10.000000,0.649802,3.829046,-1.485849,16.265500,6.157060,-1473.380000,4.437286,2.837077,0,0,0
1,0.981040,10.000000,0.700260,4.804976,-1.139969,16.265500,5.568460,-1468.969000,3.697011,2.240874,0,0,0
1,0.981040,10.000000,0.766434,5.780905,-0.829406,16.265500,4.979860,-1464.571000,3.104168,2.000493,0,0,0
1,0.981040,10.000000,0.799917,6.431525,-0.641984,16.265500,4.587461,-1461.646000,2.832023,2.098809,0,1,0
1,0.915314,10.000000,0.050141,-6.370257,0.614576,15.743570,-9.733704,-789.114500,14.817880,13.178240,0,0,0
1,0.915314,10.000000,0.117109,-5.110772,-0.203360,15.743570,-10.518510,-785.965800,13.405730,11.761440,0,0,0
1,0.915314,10.000000,0.183625,-4.166158,-0.858014,15.743570,-11.107110,-783.612500,12.353280,10.706730,0,0,0
1,0.915314,10.000000,0.233774,-3.536416,-1.314070,15.743570,-11.499510,-782.047600,11.658950,10.012340,0,0,0
1,0.915314,10.000000,0.300098,-2.276930,-2.273270,15.743570,-12.284310,-778.927100,10.302590,8.663379,0,0,0
1,0.915314,10.000000,0.350228,-1.647188,-2.776415,15.743570,-12.676710,-777.371500,9.649778,8.021138,0,0,0
1,0.915314,10.000000,0.400407,-0.721203,-3.178129,14.649180,8.622452,-1500.497000,8.723022,7.108585,0,0,0
1,0.915314,10.000000,0.466753,0.157748,-2.684327,14.649180,8.033851,-1496.005000,7.848603,6.216369,0,0,0
1,0.915314,10.000000,0.516862,1.036698,-2.225840,14.649180,7.445251,-1491.526000,7.006204,5.361877,0,0,0
1,0.915314,10.000000,0.583370,1.915649,-1.802669,14.649180,6.856651,-1487.060000,6.201043,4.555688,0,0,0
1,0.915314,10.000000,0.633689,2.501616,-1.540175,14.649180,6.464252,-1484.090000,5.688877,4.053876,0,0,0
1,0.915314,10.000000,0.700457,3.673550,-1.062275,14.649180,5.679452,-1478.168000,4.740564,3.179068,0,0,0
1,0.915314,10.000000,0.750489,4.259517,-0.846869,14.649180,5.287052,-1475.216000,4.315922,2.838031,0,0,0
1,0.915314,10.000000,0.800577,5.138468,-0.553190,14.649180,4.698452,-1470.799000,3.765003,2.511643,0,0,0
1,0.915314,10.000000,0.866701,6.017418,-0.294827,14.649180,4.109853,-1466.396000,3.353892,2.471018,0,0,0
1,0.915314,10.000000,0.900291,6.603385,-0.142205,14.649180,3.717453,-1463.467000,3.180806,2.607915,0,1,0
1,1.071060,10.000000,0.050129,-6.247093,0.579182,18.822680,-10.618560,-789.114500,14.689800,13.050120,0,0,0
1,1.071060,10.000000,0.100308,-5.117733,-0.081476,18.822680,-11.207170,-786.751800,13.438480,11.795110,0,0,0
1,1.071060,10.000000,0.166655,-3.988373,-0.777450,18.822680,-11.795770,-784.396100,12.192650,10.546450,0,0,0
1,1.071060,10.000000,0.216764,-2.859013,-1.508739,18.822680,-12.384370,-782.047600,10.960930,9.314616,0,0,0
1,1.071060,10.000000,0.283272,-1.729652,-2.275345,18.822680,-12.972970,-779.706100,9.756601,8.116830,0,0,0
1,1.071060,10.000000,0.333591,-0.976745,-2.806036,18.822680,-13.365370,-778.148900,8.978841,7.350909,0,0,0
1,1.071060,10.000000,0.400358,0.482210,-2.967489,17.687670,8.550150,-1525.927000,7.517860,5.896047,0,0,0
1,1.071060,10.000000,0.450391,1.189717,-2.637256,17.687670,8.157749,-1522.879000,6.819937,5.185169,0,0,0
1,1.071060,10.000000,0.500479,2.250976,-2.171335,17.687670,7.569149,-1518.319000,5.808439,4.161924,0,0,0
